train_loss,epoch,step
0.0066047124564647675,49,49
0.0008009581943042576,99,99
0.0010157767683267593,149,149
0.00032314364216290414,199,199
0.0002492033236194402,249,249
0.00025747076142579317,299,299
0.0001613997737877071,349,349
0.0004100235819350928,399,399
